Time,Country Code,Country Name,GDP (current US$),GDP growth (annual %),Number of infant deaths,Number of neonatal deaths,"Mortality rate, neonatal (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Net migration,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Fertility rate, total (births per woman)",Sex ratio at birth (male births per female births),Population growth (annual %),"Population, total","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)",Rural population,Rural population growth (annual %),Rural population (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population),"Healthy life expectancy, total (years)","Healthy life expectancy, male (years)","Healthy life expectancy, female (years)"
1988,FSM,Micronesia,124700000.0,2.5,137.0,,,85.0,84.0,-995.0,65.4,133.6,241.0,35.4,6.0,35.3,40.9,46.4,70.3,66.9,63.7,5.2,1.1,2.3,94987.0,46838.0,49.3,48148.0,50.7,70338.0,2.4,74.0,2.0,24649.0,26.0,,,
1988,GTM,Guatemala,7841602824.4,3.9,21648.0,10312.0,29.9,47.0,55.0,-32425.0,114.1,201.8,298.1,40.0,8.9,57.4,64.3,70.8,64.8,62.0,59.5,5.6,1.0,2.8,8566331.0,4282517.0,50.0,4283814.0,50.0,5025695.0,2.2,58.7,3.6,3540636.0,41.3,,,
1988,GUY,Guyana,413799990.0,-3.7,1120.0,713.0,31.0,64.0,55.0,-21910.0,129.8,247.0,346.9,29.9,8.5,42.2,48.8,55.1,65.0,62.1,59.4,3.1,1.0,-0.7,758450.0,382786.0,50.5,375663.0,49.5,532713.0,-0.6,70.2,-1.0,225737.0,29.8,,,
1988,HND,Honduras,5902717091.4,1.7,8968.0,4364.0,23.6,74.0,76.0,-14918.0,126.8,188.8,249.2,38.7,7.7,43.6,49.2,54.5,66.4,64.3,62.4,5.5,1.0,2.8,4778114.0,2364316.0,49.5,2413799.0,50.5,2891667.0,1.9,60.5,4.3,1886447.0,39.5,,,
1988,HTI,Haiti,2613926800.0,0.2,26755.0,11147.0,43.0,48.0,59.0,-25687.0,86.3,326.5,370.3,39.0,14.4,96.5,105.5,114.1,53.9,52.6,51.4,5.6,1.0,2.1,6644959.0,3363327.0,50.6,3281632.0,49.4,4895408.0,0.7,73.7,6.2,1749551.0,26.3,,,
1988,KIR,Kiribati,44534729.3,9.2,188.0,,,63.0,54.0,-231.0,65.4,240.8,293.5,37.4,9.8,64.8,71.3,77.4,61.5,59.9,58.3,4.8,1.1,2.4,71680.0,36190.0,50.5,35490.0,49.5,47018.0,2.0,65.6,3.3,24662.0,34.4,,,
1988,MEX,Mexico,181611549975.8,1.3,93894.0,56748.0,23.7,60.0,70.0,-573155.0,83.5,138.9,247.0,30.2,5.9,35.5,39.3,43.0,72.9,69.3,65.9,3.6,1.0,1.7,78892015.0,40019226.0,50.7,38872789.0,49.3,23303123.0,0.0,29.5,2.4,55588892.0,70.5,,,
1988,MHL,Marshall Islands,70688000.0,7.8,79.0,,,92.0,25.0,-122.0,143.1,222.8,358.0,45.0,7.5,35.8,40.3,44.5,65.9,62.2,59.1,6.4,1.1,3.6,43687.0,21293.0,48.7,22393.0,51.3,15629.0,1.6,35.8,4.8,28058.0,64.2,,,
1988,NIC,Nicaragua,2631096767.0,-12.4,8315.0,3772.0,24.5,47.0,63.0,-24750.0,149.6,194.0,364.3,38.0,8.6,48.9,54.7,60.2,65.0,60.3,55.9,4.9,1.0,2.3,4033291.0,2041362.0,50.6,1991929.0,49.4,1915047.0,1.7,47.5,2.8,2118244.0,52.5,,,
1988,NRU,Nauru,,,16.0,,,67.0,,61.0,55.2,261.3,410.4,32.1,8.6,50.1,55.5,60.5,65.8,61.4,59.2,4.0,1.1,3.0,9022.0,4198.0,46.5,4824.0,53.5,0.0,,0.0,3.0,9022.0,100.0,,,
